0,5053025;2020-04-27 13:55:02;0;0;0;0;0;0;0;0;0;0;0;-71;0;0;0;0
1,008255;2020-04-27 13:55:02;0;0;0;0;0;0;0;0;0;0;0;-50;64;0;0;0
1,511114;2020-04-27 13:55:02;0;57;80;2095216;243891;75645;39325;44126;50714;44850;26796;-54;64;0;19;0
2,014117;2020-04-27 13:55:02;0;57;80;2095216;243891;75645;39325;44126;50714;44850;26796;-151;64;0;28;0
2,516871;2020-04-27 13:55:02;0;50;77;645745;30745;8015;7933;4479;2943;4143;2841;43;64;0;32;0
3,019786;2020-04-27 13:55:02;0;50;77;645745;30745;8015;7933;4479;2943;4143;2841;299;64;0;35;0
3,522626;2020-04-27 13:55:02;0;51;67;73466;12140;5285;753;2132;1650;1573;2005;18;64;0;37;0
4,025524;2020-04-27 13:55:02;0;51;67;73466;12140;5285;753;2132;1650;1573;2005;87;64;0;39;0
4,528333;2020-04-27 13:55:02;0;48;67;141834;41621;8826;2883;2126;3658;625;861;70;64;0;40;0
5,031263;2020-04-27 13:55:02;0;48;67;141834;41621;8826;2883;2126;3658;625;861;28;64;0;41;0
5,533982;2020-04-27 13:55:02;0;29;70;143398;45883;11443;15342;2328;1391;2545;894;70;64;0;40;0
6,036999;2020-04-27 13:55:02;0;29;70;143398;45883;11443;15342;2328;1391;2545;894;75;64;0;39;0
6,539821;2020-04-27 13:55:02;0;24;60;60807;194408;9259;16879;12598;7650;4629;5290;312;64;0;38;0
7,042625;2020-04-27 13:55:02;0;24;60;60807;194408;9259;16879;12598;7650;4629;5290;52;64;0;37;0
7,545503;2020-04-27 13:55:02;0;24;60;60807;194408;9259;16879;12598;7650;4629;5290;123;64;0;36;0
8,048374;2020-04-27 13:55:02;0;24;60;60807;194408;9259;16879;12598;7650;4629;5290;67;64;0;35;0
8,551463;2020-04-27 13:55:02;0;34;57;34990;7417;1480;1809;471;730;70;98;61;64;0;35;0
9,054103;2020-04-27 13:55:02;0;34;57;34990;7417;1480;1809;471;730;70;98;66;64;0;35;0
9,557018;2020-04-27 13:55:02;0;47;63;37986;10438;6710;6625;2264;1826;1599;511;125;64;0;35;0
10,05998;2020-04-27 13:55:02;0;57;77;79130;5521;2506;1769;1604;1457;1124;532;44;64;0;36;0
10,5628;2020-04-27 13:55:02;0;57;77;79130;5521;2506;1769;1604;1457;1124;532;59;64;0;37;0
11,06561;2020-04-27 13:55:02;0;40;69;160017;94045;4479;6100;4043;2527;1134;465;72;64;0;37;0
11,56841;2020-04-27 13:55:02;0;40;69;160017;94045;4479;6100;4043;2527;1134;465;80;64;0;38;0
12,07135;2020-04-27 13:55:02;0;30;70;61897;37257;9619;5887;2773;1273;886;437;85;64;0;37;0
12,57419;2020-04-27 13:55:02;0;30;70;61897;37257;9619;5887;2773;1273;886;437;-71;64;0;37;0
13,07709;2020-04-27 13:55:02;0;16;69;41150;42410;34483;1622;837;1224;611;585;-28;64;0;36;0
13,57992;2020-04-27 13:55:02;0;16;69;41150;42410;34483;1622;837;1224;611;585;-82;64;0;35;0
14,08282;2020-04-27 13:55:02;0;7;67;71733;35610;13791;3324;3351;2124;981;669;40;64;0;34;0
14,58562;2020-04-27 13:55:02;0;7;67;71733;35610;13791;3324;3351;2124;981;669;76;64;0;33;0
15,08843;2020-04-27 13:55:02;0;1;77;104511;66420;12237;6045;464;873;772;1004;89;64;0;32;0
15,59142;2020-04-27 13:55:02;0;1;77;104511;66420;12237;6045;464;873;772;1004;198;64;0;31;0
16,09428;2020-04-27 13:55:02;0;4;69;39200;57036;8644;4144;4337;3198;641;1206;39;64;0;30;0
16,59717;2020-04-27 13:55:02;0;4;69;39200;57036;8644;4144;4337;3198;641;1206;93;64;0;30;0
17,09999;2020-04-27 13:55:02;0;14;67;107423;18238;7278;9942;7804;1943;1348;663;70;64;0;29;0
17,60291;2020-04-27 13:55:02;0;14;67;107423;18238;7278;9942;7804;1943;1348;663;117;64;0;29;0
18,10571;2020-04-27 13:55:02;0;21;74;1734189;116067;58031;54206;26778;20130;5489;2818;104;64;0;28;0
18,6085;2020-04-27 13:55:02;0;21;74;1734189;116067;58031;54206;26778;20130;5489;2818;-154;42;0;28;0
19,11139;2020-04-27 13:55:02;0;35;80;623848;93515;34326;26964;12802;7762;5430;3049;-68;42;0;28;0
19,61427;2020-04-27 13:55:02;0;35;80;623848;93515;34326;26964;12802;7762;5430;3049;-62;42;0;29;0
20,11718;2020-04-27 13:55:02;0;40;84;166930;24983;5906;3773;309;2601;809;784;65;42;0;29;0
20,61999;2020-04-27 13:55:02;0;40;84;166930;24983;5906;3773;309;2601;809;784;82;42;0;29;0
21,12293;2020-04-27 13:55:02;0;40;84;166930;24983;5906;3773;309;2601;809;784;34;42;0;29;0
21,62578;2020-04-27 13:55:02;0;40;84;166930;24983;5906;3773;309;2601;809;784;42;42;0;30;0
22,12855;2020-04-27 13:55:02;0;27;77;113372;50257;17011;6723;1828;1568;1371;746;52;42;0;29;0
22,63156;2020-04-27 13:55:02;0;27;77;113372;50257;17011;6723;1828;1568;1371;746;43;42;0;29;0
23,13434;2020-04-27 13:55:02;0;27;77;30593;23708;7305;7533;1741;1757;1447;527;242;42;0;29;0
23,63729;2020-04-27 13:55:02;0;27;77;30593;23708;7305;7533;1741;1757;1447;527;106;42;0;29;0
24,14005;2020-04-27 13:55:02;0;21;61;195764;102195;2775;3500;1464;3636;434;371;75;42;0;29;0
24,64289;2020-04-27 13:55:02;0;21;61;195764;102195;2775;3500;1464;3636;434;371;118;42;0;29;0
