"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
US48,"12/4/2019 12 a.m. EST",451204,438433,437361,-1038
US48,"12/4/2019 1 a.m. EST",433393,420829,421448,-1117
US48,"12/4/2019 2 a.m. EST",418709,410419,408083,-1073
US48,"12/4/2019 3 a.m. EST",411069,403843,398277,-785
US48,"12/4/2019 4 a.m. EST",408299,402553,398298,-317
US48,"12/4/2019 5 a.m. EST",410948,410217,402099,-594
US48,"12/4/2019 6 a.m. EST",424910,429655,421192,-1028
US48,"12/4/2019 7 a.m. EST",456971,456642,452208,-532
US48,"12/4/2019 8 a.m. EST",484688,477901,474289,-946
US48,"12/4/2019 9 a.m. EST",492134,482886,479914,-1363
US48,"12/4/2019 10 a.m. EST",486042,479182,473253,-1717
US48,"12/4/2019 11 a.m. EST",476593,471990,461937,-1652
US48,"12/4/2019 12 p.m. EST",466594,463434,451618,-1777
US48,"12/4/2019 1 p.m. EST",457565,455732,443234,-2257
US48,"12/4/2019 2 p.m. EST",451748,449711,436796,-2323
US48,"12/4/2019 3 p.m. EST",447364,446321,434391,-2188
US48,"12/4/2019 4 p.m. EST",445452,446304,433376,-1952
US48,"12/4/2019 5 p.m. EST",451814,453723,442947,-2255
US48,"12/4/2019 6 p.m. EST",467422,466346,454594,-2154
US48,"12/4/2019 7 p.m. EST",482999,477424,468224,-2033
US48,"12/4/2019 8 p.m. EST",489873,481215,474419,-1591
US48,"12/4/2019 9 p.m. EST",489169,478932,470380,-1521
US48,"12/4/2019 10 p.m. EST",479087,466776,458422,-1972
US48,"12/4/2019 11 p.m. EST",460686,448016,440088,-1757
US48,"12/5/2019 12 a.m. EST",439156,427715,423324,-1563
US48,"12/5/2019 1 a.m. EST",421086,410324,406338,-1538
US48,"12/5/2019 2 a.m. EST",410455,398337,396078,-1306
US48,"12/5/2019 3 a.m. EST",402955,391353,390789,-976
US48,"12/5/2019 4 a.m. EST",400971,400328,390921,-1003
US48,"12/5/2019 5 a.m. EST",404797,388281,396483,-573
US48,"12/5/2019 6 a.m. EST",417400,418357,413617,-15
US48,"12/5/2019 7 a.m. EST",447647,446193,442881,-169
US48,"12/5/2019 8 a.m. EST",473011,467151,463648,-90
US48,"12/5/2019 9 a.m. EST",479960,471105,467292,-598
US48,"12/5/2019 10 a.m. EST",474555,467170,462383,-369
US48,"12/5/2019 11 a.m. EST",466663,460459,454970,231
US48,"12/5/2019 12 p.m. EST",457648,452305,445267,-20
US48,"12/5/2019 1 p.m. EST",449476,444429,438409,588
US48,"12/5/2019 2 p.m. EST",444771,438668,435099,780
US48,"12/5/2019 3 p.m. EST",441819,435614,432326,657
US48,"12/5/2019 4 p.m. EST",441543,436439,434077,642
US48,"12/5/2019 5 p.m. EST",447648,444472,443634,858
US48,"12/5/2019 6 p.m. EST",462933,457308,454216,632
US48,"12/5/2019 7 p.m. EST",477355,468619,466518,1759
US48,"12/5/2019 8 p.m. EST",484370,472551,472157,47
US48,"12/5/2019 9 p.m. EST",485227,470539,469874,-414
US48,"12/5/2019 10 p.m. EST",476089,458639,458774,-586
US48,"12/5/2019 11 p.m. EST",459183,440467,442302,-931
US48,"12/6/2019 12 a.m. EST",439732,419811,422108,-1092
US48,"12/6/2019 1 a.m. EST",422475,400911,408974,-821
US48,"12/6/2019 2 a.m. EST",407974,388796,393718,-2577
US48,"12/6/2019 3 a.m. EST",399326,385774,386638,-1659
US48,"12/6/2019 4 a.m. EST",395972,383033,384808,-1309
US48,"12/6/2019 5 a.m. EST",397763,389933,388349,-1253
US48,"12/6/2019 6 a.m. EST",409809,408430,405355,-1637
US48,"12/6/2019 7 a.m. EST",436628,434342,429327,-981
US48,"12/6/2019 8 a.m. EST",459976,455032,449906,149
US48,"12/6/2019 9 a.m. EST",467508,462292,455601,-523
US48,"12/6/2019 10 a.m. EST",468122,463266,456092,-510
US48,"12/6/2019 11 a.m. EST",464809,461198,452259,-583
US48,"12/6/2019 12 p.m. EST",458973,456135,447268,-421
US48,"12/6/2019 1 p.m. EST",453224,450384,442211,858
US48,"12/6/2019 2 p.m. EST",448418,445532,437879,287
US48,"12/6/2019 3 p.m. EST",445678,442427,435659,217
US48,"12/6/2019 4 p.m. EST",444748,442286,436607,288
US48,"12/6/2019 5 p.m. EST",449508,448700,442419,67
US48,"12/6/2019 6 p.m. EST",460444,458955,448204,-828
US48,"12/6/2019 7 p.m. EST",468075,466547,453654,-1083
US48,"12/6/2019 8 p.m. EST",469264,467705,454542,-1205
US48,"12/6/2019 9 p.m. EST",465946,464401,449367,-1308
US48,"12/6/2019 10 p.m. EST",456396,453073,439882,-1557
US48,"12/6/2019 11 p.m. EST",443411,437163,427208,-1386
US48,"12/7/2019 12 a.m. EST",426839,419731,415088,-668
US48,"12/7/2019 1 a.m. EST",411544,404599,397853,-373
US48,"12/7/2019 2 a.m. EST",400261,392006,388847,695
US48,"12/7/2019 3 a.m. EST",392172,383752,381625,715
US48,"12/7/2019 4 a.m. EST",388255,380255,378805,449
US48,"12/7/2019 5 a.m. EST",389053,382539,380549,658
US48,"12/7/2019 6 a.m. EST",395044,390996,387538,1064
US48,"12/7/2019 7 a.m. EST",406480,404445,401343,908
US48,"12/7/2019 8 a.m. EST",421632,419322,414564,546
US48,"12/7/2019 9 a.m. EST",434772,430217,426737,1742
US48,"12/7/2019 10 a.m. EST",440271,435975,430331,1735
US48,"12/7/2019 11 a.m. EST",437510,435551,428789,2286
US48,"12/7/2019 12 p.m. EST",432804,432010,421815,1092
US48,"12/7/2019 1 p.m. EST",426463,425974,417569,1394
US48,"12/7/2019 2 p.m. EST",421143,419876,411930,1043
US48,"12/7/2019 3 p.m. EST",417844,416104,409085,729
US48,"12/7/2019 4 p.m. EST",417593,416650,409819,504
US48,"12/7/2019 5 p.m. EST",424057,424342,419719,669
US48,"12/7/2019 6 p.m. EST",439668,437560,432046,679
